Molecule,Radical Y,Radical Z,Bond Index,Bond Type,BDE
Nc1ccccc1O,Oc1[c]cccc1,[NH2],0,C-N,106.0803965
Nc1ccccc1O,[OH],Nc1[c]cccc1,6,C-O,113.0200185
Nc1ccccc1O,[H],[NH]c1ccccc1O,8,H-N,83.79190428
Nc1ccccc1O,[H],Nc1[c]cccc1O,10,C-H,111.2711509
Nc1ccccc1O,[H],Nc1c[c]ccc1O,11,C-H,111.8227313
Nc1ccccc1O,[H],Nc1cc[c]cc1O,12,C-H,111.1694944
Nc1ccccc1O,[H],Nc1ccc[c]c1O,13,C-H,111.0647004
Nc1ccccc1O,[H],Nc1ccccc1[O],14,H-O,76.56613814
CCNC(=O)O,O=[C]O,CC[NH],2,C-N,105.7176962
CCNC(=O)O,CCN[C]=O,[OH],4,C-O,111.9921587
CCNC(=O)O,[H],CC[N]C(=O)O,10,H-N,109.5982119
CCNC(=O)O,[H],CCNC([O])=O,11,H-O,112.1597036
NNCCc1ccccc1,[NH]CCc1ccccc1,[NH2],0,N-N,66.5366618
NNCCc1ccccc1,[CH2]Cc1ccccc1,[NH]N,1,C-N,67.33924581
NNCCc1ccccc1,[CH2]NN,[CH2]c1ccccc1,2,C-C,70.59036994
NNCCc1ccccc1,[CH2]CNN,[c]1ccccc1,3,C-C,100.9097223
NNCCc1ccccc1,[H],[NH]NCCc1ccccc1,10,H-N,79.78965188
NNCCc1ccccc1,[H],N[N]CCc1ccccc1,12,H-N,77.70694951
NNCCc1ccccc1,[H],NN[CH]Cc1ccccc1,13,C-H,89.60640267
NNCCc1ccccc1,[H],NNC[CH]c1ccccc1,15,C-H,91.38162563
NNCCc1ccccc1,[H],NNCCc1[c]cccc1,17,C-H,110.8093043
NNCCc1ccccc1,[H],NNCCc1c[c]ccc1,18,C-H,110.9354336
NNCCc1ccccc1,[H],NNCCc1cc[c]cc1,19,C-H,111.3194691
O=C(O)[C@@H]1C[C@H](O)CN1,O=[C][C@@H]1C[C@H](O)CN1,[OH],1,C-O,111.6652265
O=C(O)[C@@H]1C[C@H](O)CN1,[H],O=C(O)[C@@H]1[CH][C@H](O)CN1,11,C-H,101.6370052
O=C(O)[C@@H]1C[C@H](O)CN1,[H],[O][C@@H]1CN[C@H](C(=O)O)C1,14,H-O,104.1401386
O=C(O)[C@@H]1C[C@H](O)CN1,[H],O=C(O)[C@@H]1C[C@H](O)[CH]N1,15,C-H,90.80180732
O=C(O)[C@@H]1C[C@H](O)CN1,[H],O=C(O)[C@@H]1C[C@H](O)C[N]1,17,H-N,93.18320397
NCCc1cnc[nH]1,[CH2]Cc1cnc[nH]1,[NH2],0,C-N,90.37384618
NCCc1cnc[nH]1,[CH2]N,[CH2]c1cnc[nH]1,1,C-C,72.85253988
NCCc1cnc[nH]1,[CH2]CN,[c]1cnc[nH]1,2,C-C,114.2317384
NCCc1cnc[nH]1,[H],[NH]CCc1cnc[nH]1,8,H-N,98.96758193
NCCc1cnc[nH]1,[H],N[CH]Cc1cnc[nH]1,10,C-H,92.41011289
NCCc1cnc[nH]1,[H],NC[CH]c1cnc[nH]1,12,C-H,86.30382281
NCCc1cnc[nH]1,[H],NCCc1[c]nc[nH]1,14,C-H,115.285326
NCCc1cnc[nH]1,[H],NCCc1cn[c][nH]1,15,C-H,114.9194882
NCCc1cnc[nH]1,[H],NCCC1=CN=C[N]1,16,H-N,96.35526197
C[C@H](N)Cc1ccccc1,[CH2][C@H](C)N,[c]1ccccc1,3,C-C,102.2061559
C[C@H](N)Cc1ccccc1,[H],[CH2][C@H](N)Cc1ccccc1,10,C-H,100.4987039
C[C@H](N)Cc1ccccc1,[H],C[C@H]([NH])Cc1ccccc1,14,H-N,99.42064343
C[C@H](N)Cc1ccccc1,[H],C[C@H](N)[CH]c1ccccc1,16,C-H,88.76303058
C[C@H](N)Cc1ccccc1,[H],C[C@H](N)Cc1[c]cccc1,18,C-H,110.5752434
C[C@H](N)Cc1ccccc1,[H],C[C@H](N)Cc1c[c]ccc1,19,C-H,110.8387972
C[C@H](N)Cc1ccccc1,[H],C[C@H](N)Cc1cc[c]cc1,20,C-H,111.2636208
NCCc1ccccc1,[CH2]Cc1ccccc1,[NH2],0,C-N,87.00663289
NCCc1ccccc1,[CH2]N,[CH2]c1ccccc1,1,C-C,70.91792964
NCCc1ccccc1,[CH2]CN,[c]1ccccc1,2,C-C,101.4079644
NCCc1ccccc1,[H],[NH]CCc1ccccc1,9,H-N,98.34383799
NCCc1ccccc1,[H],N[CH]Cc1ccccc1,11,C-H,89.35477156
NCCc1ccccc1,[H],NC[CH]c1ccccc1,13,C-H,88.22149031
NCCc1ccccc1,[H],NCCc1[c]cccc1,15,C-H,110.7308656
NCCc1ccccc1,[H],NCCc1c[c]ccc1,16,C-H,110.8701726
NCCc1ccccc1,[H],NCCc1cc[c]cc1,17,C-H,111.2868386
C[C@H](N)CC1=CCCC=C1,[C]1=CCCC=C1,[CH2][C@H](C)N,3,C-C,101.8070602
C[C@H](N)CC1=CCCC=C1,[H],[CH2][C@H](N)CC1=CCCC=C1,10,C-H,100.7917506
C[C@H](N)CC1=CCCC=C1,[H],C[C@H]([NH])CC1=CCCC=C1,14,H-N,99.27443384
C[C@H](N)CC1=CCCC=C1,[H],C[C@H](N)[CH]C1=CCCC=C1,16,C-H,86.36782872
C[C@H](N)CC1=CCCC=C1,[H],C[C@H](N)CC1=[C]CCC=C1,18,C-H,109.8881211
C[C@H](N)CC1=CCCC=C1,[H],C[C@H](N)CC1=C[CH]CC=C1,19,C-H,75.0783143
C[C@H](N)CC1=CCCC=C1,[H],C[C@H](N)CC1=CC[CH]C=C1,21,C-H,75.31614022
C[C@H](N)CC1=CCCC=C1,[H],C[C@H](N)CC1=CCC[C]=C1,23,C-H,108.8985394
C[C@H](N)CC1=CCCC=C1,[H],C[C@H](N)CC1=CCCC=[C]1,24,C-H,109.7469315
NCCc1ccc(O)cc1,[CH2]Cc1ccc(O)cc1,[NH2],0,C-N,86.97588495
NCCc1ccc(O)cc1,[CH2]c1ccc(O)cc1,[CH2]N,1,C-C,70.34564143
NCCc1ccc(O)cc1,Oc1cc[c]cc1,[CH2]CN,2,C-C,102.14466
NCCc1ccc(O)cc1,[OH],NCCc1cc[c]cc1,6,C-O,112.6830461
NCCc1ccc(O)cc1,[H],[NH]CCc1ccc(O)cc1,10,H-N,98.32752276
NCCc1ccc(O)cc1,[H],N[CH]Cc1ccc(O)cc1,12,C-H,89.24307496
NCCc1ccc(O)cc1,[H],NC[CH]c1ccc(O)cc1,14,C-H,87.90146072
NCCc1ccc(O)cc1,[H],NCCc1[c]cc(O)cc1,16,C-H,110.6235616
NCCc1ccc(O)cc1,[H],NCCc1c[c]c(O)cc1,17,C-H,111.630086
NCCc1ccc(O)cc1,[H],NCCc1ccc([O])cc1,18,H-O,87.02294812
CCOC(=O)[C@H](O)OCC,[CH2]OC(=O)[C@H](O)OCC,[CH3],0,C-C,90.9122489
CCOC(=O)[C@H](O)OCC,CCOC(=O)[C@@H]([O])O,[CH2]C,7,C-O,87.40133605
CCOC(=O)[C@H](O)OCC,[CH2]O[C@@H](O)C(=O)OCC,[CH3],8,C-C,88.75299043
CCOC(=O)[C@H](O)OCC,[H],[CH2]COC(=O)[C@H](O)OCC,9,C-H,101.6401428
CCOC(=O)[C@H](O)OCC,[H],C[CH]OC(=O)[C@H](O)OCC,12,C-H,96.52657192
CCOC(=O)[C@H](O)OCC,[H],CCOC(=O)[C@H]([O])OCC,15,H-O,108.7065216
CCOC(=O)[C@H](O)OCC,[H],C[CH]O[C@@H](O)C(=O)OCC,16,C-H,94.62333713
CCOC(=O)[C@H](O)OCC,[H],[CH2]CO[C@@H](O)C(=O)OCC,18,C-H,101.4926782
CC(C)C(C)(N)N,C[CH]C(C)(N)N,[CH3],0,C-C,86.36029862
CC(C)C(C)(N)N,C[C](N)N,C[CH]C,2,C-C,77.12462115
CC(C)C(C)(N)N,CC(C)[C](N)N,[CH3],3,C-C,80.67318455
CC(C)C(C)(N)N,C[C](N)C(C)C,[NH2],4,C-N,84.0027473
CC(C)C(C)(N)N,[H],C[C](C)C(C)(N)N,9,C-H,94.63400478
CC(C)C(C)(N)N,[H],[CH2]C(N)(N)C(C)C,13,C-H,99.13889189
Nc1cccc(O)c1,Oc1c[c]ccc1,[NH2],0,C-N,105.8463356
Nc1cccc(O)c1,[OH],Nc1c[c]ccc1,5,C-O,112.565702
Nc1cccc(O)c1,[H],[NH]c1cccc(O)c1,8,H-N,92.68747186
Nc1cccc(O)c1,[H],Nc1[c]ccc(O)c1,10,C-H,112.8267457
Nc1cccc(O)c1,[H],Nc1c[c]cc(O)c1,11,C-H,110.6580746
Nc1cccc(O)c1,[H],Nc1cc[c]c(O)c1,12,C-H,112.4916559
Nc1cccc(O)c1,[H],Nc1cccc([O])c1,13,H-O,88.32126424
Nc1cccc(O)c1,[H],Nc1[c]c(O)ccc1,14,C-H,112.7558372
NC(=O)O,O=[C]O,[NH2],0,C-N,108.9474851
NC(=O)O,N[C]=O,[OH],2,C-O,111.4280281
NC(=O)O,[H],NC([O])=O,5,H-O,112.0486345
CN1C=CC=C/C1=C/N=O,O=N/C=C1/C=CC=C[N]1,[CH3],0,C-N,44.05175931
CN1C=CC=C/C1=C/N=O,[CH]=C1C=CC=CN1C,[N]=O,7,C-N,64.16405027
CN1C=CC=C/C1=C/N=O,[H],[CH2]N1C=CC=C/C1=C/N=O,10,C-H,91.99783947
CN1C=CC=C/C1=C/N=O,[H],CN1[C]=CC=C/C1=C/N=O,13,C-H,111.8377915
CN1C=CC=C/C1=C/N=O,[H],CN1C=[C]C=C/C1=C/N=O,14,C-H,115.0073395
CN1C=CC=C/C1=C/N=O,[H],CN1C=C[C]=C/C1=C/N=O,15,C-H,111.3728074
CN1C=CC=C/C1=C/N=O,[H],CN1C=CC=[C]/C1=C/N=O,16,C-H,113.0400988
CN1C=CC=C/C1=C/N=O,[H],CN1C=CC=C/C1=[C]/N=O,17,C-H,78.88729394
C=Cc1ccccc1C=C,C=Cc1[c]cccc1,[CH]=C,1,C-C,112.0762449
C=Cc1ccccc1C=C,[H],[CH]=Cc1ccccc1C=C,10,C-H,109.4532573
C=Cc1ccccc1C=C,[H],C=[C]c1ccccc1C=C,12,C-H,99.60575859
C=Cc1ccccc1C=C,[H],C=Cc1[c]cccc1C=C,13,C-H,110.5507706
C=Cc1ccccc1C=C,[H],C=Cc1c[c]ccc1C=C,14,C-H,111.1864372
NC1(C(=O)O)CC1,N[C]1CC1,O=[C]O,1,C-C,96.94763046
NC1(C(=O)O)CC1,NC1([C]=O)CC1,[OH],3,C-O,110.1648525
NC1(C(=O)O)CC1,[H],[NH]C1(C(=O)O)CC1,7,H-N,95.04125812
NC1(C(=O)O)CC1,[H],NC1(C([O])=O)CC1,9,H-O,110.6492895
C=CC(=O)O,O=[C]O,[CH]=C,1,C-C,105.5488963
C=CC(=O)O,[H],[CH]=CC(=O)O,4,C-H,110.4629193
C=CC(=O)O,[H],C=[C]C(=O)O,6,C-H,112.1816665
C=CC(=O)O,[H],C=CC([O])=O,7,H-O,113.1825433
CCNC(C)(CC)CC,[CH2]NC(C)(CC)CC,[CH3],0,C-C,80.81374656
CCNC(C)(CC)CC,[CH2]C,CCC(C)([NH])CC,1,C-N,81.98530587
CCNC(C)(CC)CC,CC[C](C)CC,CC[NH],2,C-N,81.38415225
CCNC(C)(CC)CC,CCN[C](CC)CC,[CH3],3,C-C,81.80144573
CCNC(C)(CC)CC,CCN[C](C)CC,[CH2]C,4,C-C,79.8467552
CCNC(C)(CC)CC,[H],[CH2]CNC(C)(CC)CC,8,C-H,100.3499843
CCNC(C)(CC)CC,[H],C[CH]NC(C)(CC)CC,11,C-H,88.87911974
CCNC(C)(CC)CC,[H],CC[N]C(C)(CC)CC,13,H-N,94.66475272
CCNC(C)(CC)CC,[H],[CH2]C(CC)(CC)NCC,14,C-H,99.44135123
c1ccc2cnncc2c1,[H],[c]1ccc2cnncc2c1,11,C-H,111.3313918
c1ccc2cnncc2c1,[H],[c]1cccc2cnncc12,13,C-H,112.3247385
c1ccc2cnncc2c1,[H],[c]1nncc2ccccc12,14,C-H,106.1952306
O=C(O)CCC(=O)O,O=[C]CCC(=O)O,[OH],1,C-O,109.8247427
O=C(O)CCC(=O)O,[CH2]CC(=O)O,O=[C]O,2,C-C,92.81987626
O=C(O)CCC(=O)O,[CH2]C(=O)O,[CH2]C(=O)O,3,C-C,80.20694536
O=C(O)CCC(=O)O,[H],[O]C(=O)CCC(=O)O,7,H-O,113.510103
O=C(O)CCC(=O)O,[H],O=C(O)[CH]CC(=O)O,8,C-H,91.01076782
NNC(=O)c1cccnc1,[NH]N,O=[C]c1cccnc1,1,C-N,81.69037664
NNC(=O)c1cccnc1,NN[C]=O,[c]1cccnc1,3,C-C,102.5086152
NNC(=O)c1cccnc1,[H],[NH]NC(=O)c1cccnc1,10,H-N,83.80194442
NNC(=O)c1cccnc1,[H],N[N]C(=O)c1cccnc1,12,H-N,77.96360069
NNC(=O)c1cccnc1,[H],NNC(=O)c1[c]ccnc1,13,C-H,108.5904325
NNC(=O)c1cccnc1,[H],NNC(=O)c1c[c]cnc1,14,C-H,112.501696
NNC(=O)c1cccnc1,[H],NNC(=O)c1cc[c]nc1,15,C-H,106.2950045
NNC(=O)c1cccnc1,[H],NNC(=O)c1[c]nccc1,16,C-H,102.6259594
C1CCc2nnnn2CC1,[H],[CH]1CCc2nnnn2CC1,11,C-H,97.41261463
C1CCc2nnnn2CC1,[H],[CH]1CCCn2nnnc2C1,13,C-H,98.08279424
C1CCc2nnnn2CC1,[H],[CH]1CCCCn2nnnc21,15,C-H,91.76126858
C1CCc2nnnn2CC1,[H],[CH]1CCCCc2nnnn21,17,C-H,95.72524293
C1CCc2nnnn2CC1,[H],[CH]1CCCc2nnnn2C1,19,C-H,98.55468101
Nc1ccncc1N,[NH2],Nc1[c]ccnc1,0,C-N,108.5364667
Nc1ccncc1N,[NH2],Nc1[c]cncc1,6,C-N,107.1747721
Nc1ccncc1N,[H],[NH]c1ccncc1N,8,H-N,88.17756468
Nc1ccncc1N,[H],Nc1[c]cncc1N,10,C-H,112.6767711
Nc1ccncc1N,[H],Nc1c[c]ncc1N,11,C-H,106.429919
Nc1ccncc1N,[H],Nc1[c]nccc1N,12,C-H,105.5652116
Nc1ccncc1N,[H],[NH]c1cnccc1N,13,H-N,85.19062184
N[C@@H]1C[C@@H]1c1ccccc1,[H],[NH][C@@H]1C[C@@H]1c1ccccc1,11,H-N,94.50724796
N[C@@H]1C[C@@H]1c1ccccc1,[H],N[C@@H]1[CH][C@@H]1c1ccccc1,14,C-H,106.1669927
N[C@@H]1C[C@@H]1c1ccccc1,[H],N[C@@H]1C[C@@H]1c1[c]cccc1,17,C-H,108.734132
N[C@@H]1C[C@@H]1c1ccccc1,[H],N[C@@H]1C[C@@H]1c1c[c]ccc1,18,C-H,110.8381697
N[C@@H]1C[C@@H]1c1ccccc1,[H],N[C@@H]1C[C@@H]1c1cc[c]cc1,19,C-H,110.3393
O=C(O)c1cccnc1,[OH],O=[C]c1cccnc1,1,C-O,112.0304368
O=C(O)c1cccnc1,O=[C]O,[c]1cccnc1,2,C-C,108.4643031
O=C(O)c1cccnc1,[H],[O]C(=O)c1cccnc1,9,H-O,114.0102277
O=C(O)c1cccnc1,[H],O=C(O)c1[c]ccnc1,10,C-H,111.5993381
O=C(O)c1cccnc1,[H],O=C(O)c1c[c]cnc1,11,C-H,112.6453956
O=C(O)c1cccnc1,[H],O=C(O)c1cc[c]nc1,12,C-H,106.2837094
O=C(O)c1cccnc1,[H],O=C(O)c1[c]nccc1,13,C-H,107.7859659
CCN(CC)N=O,[CH2]N(CC)N=O,[CH3],0,C-C,79.9095061
CCN(CC)N=O,CC[N]N=O,[CH2]C,1,C-N,68.5867337
CCN(CC)N=O,CC[N]CC,[N]=O,4,N-N,45.04385104
CCN(CC)N=O,[H],[CH2]CN(CC)N=O,6,C-H,101.1268404
CCN(CC)N=O,[H],C[CH]N(CC)N=O,9,C-H,85.95555531
C[C@](N)(CO)C(=O)O,[CH2][C@](C)(N)C(=O)O,[OH],3,C-O,100.0694877
C[C@](N)(CO)C(=O)O,C[C@@](N)([C]=O)CO,[OH],6,C-O,111.9068175
C[C@](N)(CO)C(=O)O,[H],[CH2][C@](N)(CO)C(=O)O,7,C-H,104.7005042
C[C@](N)(CO)C(=O)O,[H],C[C@]([NH])(CO)C(=O)O,10,H-N,105.2257292
C[C@](N)(CO)C(=O)O,[H],C[C@](N)([CH]O)C(=O)O,12,C-H,96.9639457
CCCC[C@H](O)/C=C/C=O,[CH2]CC[C@H](O)/C=C/C=O,[CH3],0,C-C,90.26967969
CCCC[C@H](O)/C=C/C=O,[CH2]C[C@H](O)/C=C/C=O,[CH2]C,1,C-C,87.31160226
CCCC[C@H](O)/C=C/C=O,[CH2][C@H](O)/C=C/C=O,[CH2]CC,2,C-C,89.28700059
CCCC[C@H](O)/C=C/C=O,[CH]=C[C@@H](O)CCCC,[CH]=O,7,C-C,97.263895
CCCC[C@H](O)/C=C/C=O,[H],[CH2]CCC[C@H](O)/C=C/C=O,9,C-H,100.22762
CCCC[C@H](O)/C=C/C=O,[H],C[CH]CC[C@H](O)/C=C/C=O,12,C-H,97.94223223
CCCC[C@H](O)/C=C/C=O,[H],CC[CH]C[C@H](O)/C=C/C=O,14,C-H,96.73678744
CCCC[C@H](O)/C=C/C=O,[H],CCC[CH][C@H](O)/C=C/C=O,16,C-H,97.45967781
CCCC[C@H](O)/C=C/C=O,[H],CCCC[C@H]([O])/C=C/C=O,19,H-O,104.410595
CCCC[C@H](O)/C=C/C=O,[H],CCCC[C@H](O)/[C]=C/C=O,20,C-H,108.3400564
CCCC[C@H](O)/C=C/C=O,[H],CCCC[C@H](O)/C=[C]/C=O,21,C-H,111.3069189
CCCC[C@H](O)/C=C/C=O,[H],CCCC[C@H](O)/C=C/[C]=O,22,C-H,89.62146289
O=C(O)C1CCNCC1,O=[C]O,[CH]1CCNCC1,2,C-C,93.83769586
O=C(O)C1CCNCC1,[H],[O]C(=O)C1CCNCC1,9,H-O,113.0846519
O=C(O)C1CCNCC1,[H],O=C(O)[C]1CCNCC1,10,C-H,88.57415037
O=C(O)C1CCNCC1,[H],O=C(O)C1CC[N]CC1,15,H-N,100.3267664
OCCCCO,[CH2]CCCO,[OH],0,C-O,97.96168501
OCCCCO,[CH2]CCO,[CH2]O,1,C-C,87.2934045
OCCCCO,[CH2]CO,[CH2]CO,2,C-C,91.00072767
OCCCCO,[H],[O]CCCCO,5,H-O,102.5820338
OCCCCO,[H],O[CH]CCCO,6,C-H,92.47976638
OCCCCO,[H],OC[CH]CCO,8,C-H,96.8384439
CN(C)CC(=O)NN,C[N]CC(=O)NN,[CH3],0,C-N,79.18975327
CN(C)CC(=O)NN,NN[C]=O,[CH2]N(C)C,3,C-C,83.53901815
CN(C)CC(=O)NN,CN(C)C[C]=O,[NH]N,5,C-N,82.61908996
CN(C)CC(=O)NN,CN(C)CC([NH])=O,[NH2],6,N-N,81.03023717
CN(C)CC(=O)NN,[H],[CH2]N(C)CC(=O)NN,7,C-H,92.79854096
CN(C)CC(=O)NN,[H],CN(C)[CH]C(=O)NN,13,C-H,87.00977043
CN(C)CC(=O)NN,[H],CN(C)CC(=O)[N]N,15,H-N,84.36670252
CN(C)CC(=O)NN,[H],CN(C)CC(=O)N[NH],16,H-N,87.80545184
NC(=O)C1CCCCC1,O=[C]C1CCCCC1,[NH2],0,C-N,100.5288243
NC(=O)C1CCCCC1,N[C]=O,[CH]1CCCCC1,2,C-C,85.60728782
NC(=O)C1CCCCC1,[H],[NH]C(=O)C1CCCCC1,9,H-N,111.9814911
NC(=O)C1CCCCC1,[H],NC(=O)[C]1CCCCC1,11,C-H,90.70517093
NC(=O)C1CCCCC1,[H],NC(=O)C1CC[CH]CC1,16,C-H,97.70879888
NC1=NC(=O)CC(=O)N1,[H],[NH]C1=NC(=O)CC(=O)N1,9,H-N,106.0396084
NC1=NC(=O)CC(=O)N1,[H],NC1=NC(=O)CC(=O)[N]1,13,H-N,111.9971788
NCC(=O)O,[CH2]C(=O)O,[NH2],0,C-N,83.16251275
NCC(=O)O,O=[C]O,[CH2]N,1,C-C,87.42204384
NCC(=O)O,[H],[NH]CC(=O)O,4,H-N,99.92390565
NCC(=O)O,[H],N[CH]C(=O)O,6,C-H,78.12926306
N=C(N)N=C(N)N,N=[C]N=C(N)N,[NH2],1,C-N,99.22423312
N=C(N)N=C(N)N,[N]=C(N)N,N=[C]N,2,C-N,98.69838057
N=C(N)N=C(N)N,N=C(N)N=[C]N,[NH2],4,C-N,101.9080891
N=C(N)N=C(N)N,[H],[N]=C(N)N=C(N)N,6,H-N,93.57665212
N=C(N)N=C(N)N,[H],[NH]C(=N)N=C(N)N,7,H-N,106.5648334
N[C@H](CO)C(=O)O,[CH2][C@@H](N)C(=O)O,[OH],2,C-O,99.08743615
N[C@H](CO)C(=O)O,N[C@@H]([C]=O)CO,[OH],5,C-O,111.7857083
N[C@H](CO)C(=O)O,[H],[NH][C@H](CO)C(=O)O,6,H-N,104.9295449
N[C@H](CO)C(=O)O,[H],N[C@H]([CH]O)C(=O)O,9,C-H,96.10739591
N[C@H](CO)C(=O)O,[H],N[C@H](C[O])C(=O)O,11,H-O,111.9093276
OCC(O)CO,O[CH]CO,[CH2]O,1,C-C,87.33168255
OCC(O)CO,OC[CH]CO,[OH],2,C-O,99.91700305
OCC(O)CO,[H],[O]C(CO)CO,9,H-O,105.7653869
Cc1ccc(NN)cc1,[NH]N,Cc1cc[c]cc1,4,C-N,85.01868437
