Molecule,Radical Y,Radical Z,Bond Index,Bond Type,BDE,BDFE,BDSCFE,SET
Br/C=C/c1ccccn1,[H],Br/C=C/c1c[c]ccn1,12,C-H,110.5790085,102.0448861,117.3753423,train
Br/C=C/c1ccccn1,[H],Br/C=C/c1cc[c]cn1,13,C-H,112.8010178,104.2587378,119.4701042,train
Br/C=C/c1ccccn1,[H],Br/C=C/c1ccc[c]n1,14,C-H,105.8005274,97.29589796,112.4479937,train
Br/C=C/c1cccnc1,[Br],[CH]=Cc1cccnc1,0,Br-C,79.74823628,70.94679505,81.82510556,train
Br/C=C/c1cccnc1,[CH]=CBr,[c]1cccnc1,2,C-C,114.5411003,101.3684314,118.8543574,train
Br/C=C/c1cccnc1,[H],Br/[C]=C/c1cccnc1,9,C-H,107.0561729,98.80819465,113.7345433,train
Br/C=C/c1cccnc1,[H],Br/C=[C]/c1cccnc1,10,C-H,101.0182813,92.2155851,108.1563867,train
Br/C=C/c1cccnc1,[H],Br/C=C/c1[c]ccnc1,11,C-H,109.6208022,101.5673517,116.3728721,train
Br/C=C/c1cccnc1,[H],Br/C=C/c1cc[c]nc1,13,C-H,106.5510282,97.89391404,113.1830699,train
Br/C=C/c1cccnc1,[H],Br/C=C/c1[c]nccc1,14,C-H,104.5373518,96.52343438,111.1774456,train
Br/C=C\c1ccccc1,[Br],[CH]=Cc1ccccc1,0,Br-C,78.80571777,69.46712883,80.93604502,train
Br/C=C\c1ccccc1,[CH]=CBr,[c]1ccccc1,2,C-C,112.3234835,98.64880736,116.731089,train
Br/C=C\c1ccccc1,[H],Br/[C]=C\c1ccccc1,9,C-H,106.642017,97.86567613,113.1744605,train
Br/C=C\c1ccccc1,[H],Br/C=[C]\c1ccccc1,10,C-H,99.37546279,90.11907753,106.4798907,train
Br/C=C\c1ccccc1,[H],Br/C=C\c1[c]cccc1,11,C-H,108.4580281,100.0914506,115.1240985,train
Br/C=C\c1ccccc1,[H],Br/C=C\c1c[c]ccc1,12,C-H,111.1531792,102.6705125,117.8765209,train
Br/C=C\c1ccccc1,[H],Br/C=C\c1cc[c]cc1,13,C-H,111.2906037,102.8493526,118.0184634,train
Br/C=C\c1ccccn1,[Br],[CH]=Cc1ccccn1,0,Br-C,78.47313799,69.17094458,80.62008625,train
Br/C=C\c1ccccn1,[CH]=CBr,[c]1ccccn1,2,C-C,108.6211804,94.90571618,112.9019691,train
Br/C=C\c1ccccn1,[H],Br/[C]=C\c1ccccn1,9,C-H,106.4374491,97.54815658,113.0495298,train
Br/C=C\c1ccccn1,[H],Br/C=[C]\c1ccccn1,10,C-H,102.7307534,93.25097495,109.9236896,train
Br/C=C\c1ccccn1,[H],Br/C=C\c1[c]cccn1,11,C-H,109.1357378,100.7610027,115.8483878,train
Br/C=C\c1ccccn1,[H],Br/C=C\c1c[c]ccn1,12,C-H,110.5683408,102.1741529,117.3618822,train
Br/C=C\c1ccccn1,[H],Br/C=C\c1cc[c]cn1,13,C-H,112.5531518,104.1545713,119.2395889,train
Br/C=C\c1ccccn1,[H],Br/C=C\c1ccc[c]n1,14,C-H,105.9285393,97.39002431,112.5606566,train
BrC(Br)(Br)Br,Br[C](Br)Br,[Br],0,Br-C,52.1805109,42.26712371,52.74279901,train
BrC(Br)Br,[Br],Br[CH]Br,0,Br-C,60.05574885,50.47807898,61.58181062,train
BrC(Br)Br,Br[C](Br)Br,[H],3,C-H,92.43333072,83.7586463,98.91998643,train
BrC12CCC(CC1)CC2,[H],BrC12[CH]CC(CC1)CC2,10,C-H,97.41575218,87.28775692,105.228149,train
BrC12CCC(CC1)CC2,[H],BrC12C[CH]C(CC1)CC2,12,C-H,96.49958904,86.68848582,104.2244049,train
BrC1=C2CCC[C@@H]2CC1,[Br],[C]1=C2CCC[C@@H]2CC1,0,Br-C,86.44124728,77.05936022,87.59536704,train
BrC1=C2CCC[C@@H]2CC1,[H],BrC1=C2[CH]CC[C@@H]2CC1,10,C-H,83.83143735,75.53514086,91.14022825,train
BrC1=C2CCC[C@@H]2CC1,[H],BrC1=C2C[CH]C[C@@H]2CC1,12,C-H,96.08668812,87.16225512,103.8350421,train
BrC1=C2CCC[C@@H]2CC1,[H],BrC1=C2CC[CH][C@@H]2CC1,14,C-H,96.97586837,87.98680194,104.6122806,train
BrC1=C2CCC[C@@H]2CC1,[H],BrC1=C2CCC[C]2CC1,16,C-H,82.56261415,73.30497387,89.69852084,train
BrC1=C2CCC[C@@H]2CC1,[H],BrC1=C2CCC[C@@H]2[CH]C1,17,C-H,96.96206317,88.23278547,104.5820723,train
BrC1=C2CCC[C@@H]2CC1,[H],BrC1=C2CCC[C@@H]2C[CH]1,19,C-H,85.98818578,77.22439509,93.4858556,train
BrC1=C2CCC[C@H]2CC1,[Br],[C]1=C2CCC[C@H]2CC1,0,Br-C,86.46007255,77.12462115,87.58332829,train
BrC1=C2CCC[C@H]2CC1,[H],BrC1=C2[CH]CC[C@H]2CC1,10,C-H,83.82453475,75.53702338,91.13784999,train
BrC1=C2CCC[C@H]2CC1,[H],BrC1=C2C[CH]C[C@H]2CC1,12,C-H,96.10237584,87.27897179,103.8156207,train
BrC1=C2CCC[C@H]2CC1,[H],BrC1=C2CC[CH][C@H]2CC1,14,C-H,96.96331819,88.03072757,104.6008097,train
BrC1=C2CCC[C@H]2CC1,[H],BrC1=C2CCC[C]2CC1,16,C-H,82.55696657,73.32944672,89.68787829,train
BrC1=C2CCC[C@H]2CC1,[H],BrC1=C2CCC[C@H]2[CH]C1,17,C-H,96.95327805,88.17944721,104.5791293,train
BrC1=C2CCC[C@H]2CC1,[H],BrC1=C2CCC[C@H]2C[CH]1,19,C-H,85.97751813,77.19678469,93.48620073,train
BrC1=CC2=CC=N[C@@H]2C=C1,[H],BrC1=[C]C2=CC=N[C@@H]2C=C1,11,C-H,111.2899762,102.6623549,117.8717267,train
BrC1=CC2=CC=N[C@@H]2C=C1,[H],BrC1=CC2=[C]C=N[C@@H]2C=C1,12,C-H,115.9630357,107.4577787,122.3507706,train
BrC1=CC2=CC=N[C@@H]2C=C1,[H],BrC1=CC2=C[C]=N[C@@H]2C=C1,13,C-H,108.2553426,99.71055259,114.7930814,train
BrC1=CC2=CC=N[C@@H]2C=C1,[H],BrC1=CC2=CC=N[C]2C=C1,14,C-H,51.52978406,43.34267414,57.84007584,train
BrC1=CC2=CC=N[C@@H]2C=C1,[H],BrC1=CC2=CC=N[C@@H]2[C]=C1,15,C-H,111.4757188,102.9303013,118.1370437,train
BrC1=CC2=CC=N[C@@H]2C=C1,[H],BrC1=CC2=CC=N[C@@H]2C=[C]1,16,C-H,111.6677366,103.0476455,118.429858,train
BrC1=CC2=CC=N[C@@H]2N=C1,[H],BrC1=[C]C2=CC=N[C@@H]2N=C1,11,C-H,110.1824228,101.5366038,116.8120027,train
BrC1=CC2=CC=N[C@@H]2N=C1,[H],BrC1=CC2=[C]C=N[C@@H]2N=C1,12,C-H,115.4390657,106.9275336,121.8211972,train
BrC1=CC2=CC=N[C@@H]2N=C1,[H],BrC1=CC2=C[C]=N[C@@H]2N=C1,13,C-H,108.1762765,99.61830877,114.7256556,train
BrC1=CC2=CC=N[C@@H]2N=C1,[H],BrC1=CC2=CC=N[C]2N=C1,14,C-H,51.10621549,42.86074723,57.5401016,train
BrC1=CC2=CC=N[C@@H]2N=C1,[H],BrC1=CC2=CC=N[C@@H]2N=[C]1,15,C-H,103.7372778,95.10463653,110.3248307,train
BrC1=CC2=CC=N[C@H]2C=C1,[H],BrC1=[C]C2=CC=N[C@H]2C=C1,11,C-H,111.3269992,102.7188307,117.8776316,train
BrC1=CC2=CC=N[C@H]2C=C1,[H],BrC1=CC2=[C]C=N[C@H]2C=C1,12,C-H,116.0107264,107.5230396,122.3528602,train
BrC1=CC2=CC=N[C@H]2C=C1,[H],BrC1=CC2=C[C]=N[C@H]2C=C1,13,C-H,108.2917382,99.77204847,114.7997707,train
BrC1=CC2=CC=N[C@H]2C=C1,[H],BrC1=CC2=CC=N[C]2C=C1,14,C-H,51.56555208,43.40040497,57.84217172,train
BrC1=CC2=CC=N[C@H]2C=C1,[H],BrC1=CC2=CC=N[C@H]2[C]=C1,15,C-H,111.5102318,102.9943072,118.1438208,train
BrC1=CC2=CC=N[C@H]2C=C1,[H],BrC1=CC2=CC=N[C@H]2C=[C]1,16,C-H,111.6896994,103.0689808,118.4423329,train
BrC1=CC2=CC=N[C@H]2N=C1,[H],BrC1=[C]C2=CC=N[C@H]2N=C1,11,C-H,110.1755202,101.5729993,116.8041337,train
BrC1=CC2=CC=N[C@H]2N=C1,[H],BrC1=CC2=[C]C=N[C@H]2N=C1,12,C-H,115.4409482,106.956399,121.8232429,train
BrC1=CC2=CC=N[C@H]2N=C1,[H],BrC1=CC2=C[C]=N[C@H]2N=C1,13,C-H,108.176904,99.64278162,114.7230954,train
BrC1=CC2=CC=N[C@H]2N=C1,[H],BrC1=CC2=CC=N[C]2N=C1,14,C-H,51.10245043,42.87392492,57.53826928,train
BrC1=CC2=CC=N[C@H]2N=C1,[H],BrC1=CC2=CC=N[C@H]2N=[C]1,15,C-H,103.7303752,95.11530418,110.318449,train
BrC1=CC2=CN=N[C@@H]2C=C1,[H],BrC1=[C]C2=CN=N[C@@H]2C=C1,11,C-H,111.8654019,103.2459383,118.4339494,train
BrC1=CC2=CN=N[C@@H]2C=C1,[H],BrC1=CC2=[C]N=N[C@@H]2C=C1,12,C-H,117.1082396,108.6249454,123.7159094,train
BrC1=CC2=CN=N[C@@H]2C=C1,[H],BrC1=CC2=CN=N[C]2C=C1,13,C-H,49.05363355,40.81946045,55.50037844,train
BrC1=CC2=CN=N[C@@H]2C=C1,[H],BrC1=CC2=CN=N[C@@H]2[C]=C1,14,C-H,111.8861097,103.36391,118.529908,train
BrC1=CC2=CN=N[C@@H]2C=C1,[H],BrC1=CC2=CN=N[C@@H]2C=[C]1,15,C-H,111.9250153,103.3262594,118.6730239,train
BrC1=CC2=CN=N[C@H]2C=C1,[H],BrC1=[C]C2=CN=N[C@H]2C=C1,11,C-H,111.8478317,103.191345,118.4401868,train
BrC1=CC2=CN=N[C@H]2C=C1,[H],BrC1=CC2=[C]N=N[C@H]2C=C1,12,C-H,117.101337,108.5904325,123.725002,train
BrC1=CC2=CN=N[C@H]2C=C1,[H],BrC1=CC2=CN=N[C]2C=C1,13,C-H,49.04484842,40.78243742,55.50516006,train
BrC1=CC2=CN=N[C@H]2C=C1,[H],BrC1=CC2=CN=N[C@H]2[C]=C1,14,C-H,111.8603818,103.3231219,118.5275549,train
BrC1=CC2=CN=N[C@H]2C=C1,[H],BrC1=CC2=CN=N[C@H]2C=[C]1,15,C-H,111.8974049,103.2559784,118.6765191,train
BrC1=CC2=NC=C[C@@H]2C=C1,[H],BrC1=[C]C2=NC=C[C@@H]2C=C1,11,C-H,113.12795,104.4746009,119.7128434,train
BrC1=CC2=NC=C[C@@H]2C=C1,[H],BrC1=CC2=N[C]=C[C@@H]2C=C1,12,C-H,113.5891691,105.1221902,120.206881,train
BrC1=CC2=NC=C[C@@H]2C=C1,[H],BrC1=CC2=NC=[C][C@@H]2C=C1,13,C-H,116.6671008,108.1530587,123.0287686,train
BrC1=CC2=NC=C[C@@H]2C=C1,[H],BrC1=CC2=NC=C[C]2C=C1,14,C-H,50.01560484,41.83351499,56.02274175,train
BrC1=CC2=NC=C[C@@H]2C=C1,[H],BrC1=CC2=NC=C[C@@H]2[C]=C1,15,C-H,110.1152793,101.6225725,116.7176567,train
BrC1=CC2=NC=C[C@@H]2C=C1,[H],BrC1=CC2=NC=C[C@@H]2C=[C]1,16,C-H,111.7788057,103.1681272,118.5161342,train
BrC1=CC2=NC=C[C@@H]2N=C1,[H],BrC1=[C]C2=NC=C[C@@H]2N=C1,11,C-H,112.0047089,103.3708126,118.6660648,train
BrC1=CC2=NC=C[C@@H]2N=C1,[H],BrC1=CC2=N[C]=C[C@@H]2N=C1,12,C-H,113.82574,105.3399358,120.4748146,train
BrC1=CC2=NC=C[C@@H]2N=C1,[H],BrC1=CC2=NC=[C][C@@H]2N=C1,13,C-H,117.273902,108.7793127,123.6463187,train
BrC1=CC2=NC=C[C@@H]2N=C1,[H],BrC1=CC2=NC=C[C]2N=C1,14,C-H,51.11751065,42.91847806,57.33559026,train
BrC1=CC2=NC=C[C@@H]2N=C1,[H],BrC1=CC2=NC=C[C@@H]2N=[C]1,15,C-H,104.1351186,95.51941998,110.7429335,train
BrC1=CC2=NC=C[C@H]2C=C1,[H],BrC1=[C]C2=NC=C[C@H]2C=C1,11,C-H,113.1342251,104.4714634,119.7167277,train
BrC1=CC2=NC=C[C@H]2C=C1,[H],BrC1=CC2=N[C]=C[C@H]2C=C1,12,C-H,113.5828941,105.10713,120.2209999,train
BrC1=CC2=NC=C[C@H]2C=C1,[H],BrC1=CC2=NC=[C][C@H]2C=C1,13,C-H,116.6671008,108.1379985,123.0344726,train
BrC1=CC2=NC=C[C@H]2C=C1,[H],BrC1=CC2=NC=C[C]2C=C1,14,C-H,50.00493719,41.80966965,56.02475605,train
BrC1=CC2=NC=C[C@H]2C=C1,[H],BrC1=CC2=NC=C[C@H]2[C]=C1,15,C-H,110.0876689,101.5767644,116.7170857,train
BrC1=CC2=NC=C[C@H]2C=C1,[H],BrC1=CC2=NC=C[C@H]2C=[C]1,16,C-H,111.7662555,103.1511844,118.5116224,train
BrC1=CC2=NC=C[C@H]2N=C1,[H],BrC1=[C]C2=NC=C[C@H]2N=C1,11,C-H,112.0448695,103.4197583,118.6720764,train
BrC1=CC2=NC=C[C@H]2N=C1,[H],BrC1=CC2=N[C]=C[C@H]2N=C1,12,C-H,113.8276226,105.3317782,120.4853191,train
BrC1=CC2=NC=C[C@H]2N=C1,[H],BrC1=CC2=NC=[C][C@H]2N=C1,13,C-H,117.2732745,108.7391521,123.6634936,train
BrC1=CC2=NC=C[C@H]2N=C1,[H],BrC1=CC2=NC=C[C]2N=C1,14,C-H,51.13445339,42.92036058,57.34908169,train
BrC1=CC2=NC=C[C@H]2N=C1,[H],BrC1=CC2=NC=C[C@H]2N=[C]1,15,C-H,104.1633565,95.52883262,110.7586651,train
BrC1=CC2=NN=C[C@@H]2C=C1,[H],BrC1=[C]C2=NN=C[C@@H]2C=C1,11,C-H,113.6512925,105.0142587,120.2373402,train
BrC1=CC2=NN=C[C@@H]2C=C1,[H],BrC1=CC2=NN=[C][C@@H]2C=C1,12,C-H,111.0810157,102.5079877,117.6473798,train
BrC1=CC2=NN=C[C@@H]2C=C1,[H],BrC1=CC2=NN=C[C]2C=C1,13,C-H,53.28555424,45.10471941,59.5478281,train
BrC1=CC2=NN=C[C@@H]2C=C1,[H],BrC1=CC2=NN=C[C@@H]2[C]=C1,14,C-H,110.6110114,102.107637,117.2576405,train
BrC1=CC2=NN=C[C@@H]2C=C1,[H],BrC1=CC2=NN=C[C@@H]2C=[C]1,15,C-H,111.9990613,103.4122282,118.7282196,train
BrC1=CC2=NN=C[C@H]2C=C1,[H],BrC1=[C]C2=NN=C[C@H]2C=C1,11,C-H,113.6299572,104.970333,120.2297223,train
BrC1=CC2=NN=C[C@H]2C=C1,[H],BrC1=CC2=NN=[C][C@H]2C=C1,12,C-H,111.0559153,102.4885349,117.6331103,train
BrC1=CC2=NN=C[C@H]2C=C1,[H],BrC1=CC2=NN=C[C]2C=C1,13,C-H,53.26233641,45.06957891,59.54324728,train
BrC1=CC2=NN=C[C@H]2C=C1,[H],BrC1=CC2=NN=C[C@H]2[C]=C1,14,C-H,110.5859111,102.0417485,117.2561219,train
BrC1=CC2=NN=C[C@H]2C=C1,[H],BrC1=CC2=NN=C[C@H]2C=[C]1,15,C-H,111.9639208,103.3457122,118.7356995,train
BrC1=CCCCCCC1,[Br],[C]1=CCCCCCC1,0,Br-C,80.60102101,70.64810077,82.43136551,train
BrC1=CCCCCCC1,[H],BrC1=[C]CCCCCC1,9,C-H,107.1038636,98.23527893,113.909863,train
BrC1=CCCCCCC1,[H],BrC1=C[CH]CCCCC1,10,C-H,87.13150718,77.91339997,94.31995266,train
BrC1=CCCCCCC1,[H],BrC1=CC[CH]CCCC1,12,C-H,96.07915801,86.84599058,103.8848475,train
BrC1=CCCCCCC1,[H],BrC1=CCC[CH]CCC1,14,C-H,95.11593169,85.95806535,102.7988496,train
BrC1=CCCCCCC1,[H],BrC1=CCCC[CH]CC1,16,C-H,94.81974744,85.81687582,102.4625928,train
BrC1=CCCCCCC1,[H],BrC1=CCCCC[CH]C1,18,C-H,95.72022286,86.58808438,103.4906089,train
BrC1=CCCCCCC1,[H],BrC1=CCCCCC[CH]1,20,C-H,89.81975573,80.65624181,97.54273044,train
BrC1=CCc2ccccc21,[Br],[C]1=CCc2ccccc21,0,Br-C,86.27495739,76.84475214,87.44286361,train
BrC1=CCc2ccccc21,[H],BrC1=[C]Cc2ccccc21,11,C-H,115.744035,107.1641045,122.0795362,train
BrC1=CCc2ccccc21,[H],BrC1=C[CH]c2ccccc21,12,C-H,78.67394087,70.2741054,85.27304115,train
BrC1=CCc2ccccc21,[H],BrC1=CCc2[c]cccc21,14,C-H,111.2962513,102.8022894,117.8531776,train
BrC1=CCc2ccccc21,[H],BrC1=CCc2c[c]ccc21,15,C-H,111.310684,102.807937,118.0030957,train
BrC1=CCc2ccccc21,[H],BrC1=CCc2cc[c]cc21,16,C-H,111.3012713,102.7922493,118.0218205,train
BrC1=CCc2ccccc21,[H],BrC1=CCc2ccc[c]c21,17,C-H,112.4339251,103.8765848,118.9977032,train
BrC1=C[C@H]2C=C[C@H](C2)C1,[Br],[C]1=C[C@H]2C=C[C@@H](C1)C2,0,Br-C,81.5692674,72.11082424,83.01456892,train
BrC1=C[C@H]2C=C[C@H](C2)C1,[H],BrC1=[C][C@H]2C=C[C@@H](C1)C2,10,C-H,109.9715798,101.3521161,116.5058663,train
BrC1=C[C@H]2C=C[C@H](C2)C1,[H],BrC1=C[C]2C=C[C@H](C2)C1,11,C-H,103.0959636,94.50787547,109.9203449,train
BrC1=C[C@H]2C=C[C@H](C2)C1,[H],BrC1=C[C@H]2[C]=C[C@@H](C1)C2,12,C-H,112.7257168,104.2468152,119.2132398,train
BrC1=C[C@H]2C=C[C@H](C2)C1,[H],BrC1=C[C@H]2C=[C][C@@H](C1)C2,13,C-H,112.641003,104.1401386,119.1337659,train
BrC1=C[C@H]2C=C[C@H](C2)C1,[H],BrC1=C[C@H]2C=C[C](C1)C2,14,C-H,101.7919999,93.23528722,108.5785746,train
BrC1=C[C@H]2C=C[C@H](C2)C1,[H],BrC1=C[C@@H]2[CH][C@@H](C=C2)C1,15,C-H,102.0097456,93.30807826,109.3791375,train
BrC1=C[C@H]2C=C[C@H](C2)C1,[H],BrC1=C[C@H]2C=C[C@@H]([CH]1)C2,17,C-H,85.69764911,77.19866722,93.09457258,train
BrC1=Cc2ccccc21,[Br],[C]1=Cc2ccccc21,0,Br-C,85.62423056,76.31011447,86.89755232,train
BrC1=Cc2ccccc21,[H],BrC1=[C]c2ccccc21,10,C-H,115.3179564,106.7499486,121.7290977,train
BrC1=Cc2ccccc21,[H],BrC1=Cc2[c]cccc21,11,C-H,111.8503417,103.3061792,118.4388879,train
BrC1=Cc2ccccc21,[H],BrC1=Cc2c[c]ccc21,12,C-H,110.9210009,102.3774658,117.6787113,train
BrC1=Cc2ccccc21,[H],BrC1=Cc2cc[c]cc21,13,C-H,111.1964773,102.6799252,117.925021,train
BrC1=Cc2ccccc21,[H],BrC1=Cc2ccc[c]c21,14,C-H,112.112013,103.5684779,118.7139877,train
BrC1=Cc2ccccc2C1,[Br],[C]1=Cc2ccccc2C1,0,Br-C,85.98002816,76.56864818,87.15064852,train
BrC1=Cc2ccccc2C1,[H],BrC1=[C]c2ccccc2C1,11,C-H,115.7936083,107.2613684,122.1599264,train
BrC1=Cc2ccccc2C1,[H],BrC1=Cc2[c]cccc2C1,12,C-H,111.7035046,103.1844424,118.2960481,train
BrC1=Cc2ccccc2C1,[H],BrC1=Cc2c[c]ccc2C1,13,C-H,111.1544342,102.635372,117.8657278,train
BrC1=Cc2ccccc2C1,[H],BrC1=Cc2cc[c]cc2C1,14,C-H,111.3445695,102.8129571,118.0422083,train
BrC1=Cc2ccccc2C1,[H],BrC1=Cc2ccc[c]c2C1,15,C-H,111.2460505,102.701888,117.8481512,train
BrC1=Cc2ccccc2C1,[H],BrC1=Cc2ccccc2[CH]1,16,C-H,81.40297752,72.98933684,88.46210289,train
BrC1=NC2=CC=N[C@@H]2N=C1,[H],BrC1=NC2=[C]C=N[C@@H]2N=C1,11,C-H,116.8051528,108.3438214,123.1743506,train
BrC1=NC2=CC=N[C@@H]2N=C1,[H],BrC1=NC2=C[C]=N[C@@H]2N=C1,12,C-H,107.9346855,99.42378098,114.4940735,train
BrC1=NC2=CC=N[C@@H]2N=C1,[H],BrC1=NC2=CC=N[C]2N=C1,13,C-H,54.75141527,46.61889863,61.37441794,train
